Run_Start,Run_End,noedtm,edtmLow,edtmHigh,ptrigHMSLow,ptrigHMSHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigCOINLow,ptrigCOINHigh,goodstarttime,goodscinhit
7865.0,7865.0,0.0,2710.0,3272.0,4767.0,5253.0,5286.0,5848.0,0.0,0.0,1.0,1.0
5173.0,5173.0,0.0,2760.0,3323.0,4765.0,5066.0,5515.0,5969.0,0.0,0.0,1.0,1.0
7843.0,7843.0,0.0,2708.0,3271.0,4766.0,5154.0,5481.0,6048.0,0.0,0.0,1.0,1.0
7846.0,7846.0,0.0,2762.0,3325.0,4767.0,5253.0,5308.0,5873.0,0.0,0.0,1.0,1.0
5298.0,5298.0,0.0,2816.0,3380.0,4764.0,5064.0,5517.0,6025.0,0.0,0.0,1.0,1.0
7859.0,7859.0,0.0,2682.0,3242.0,4768.0,5144.0,5372.0,5931.0,0.0,0.0,1.0,1.0
5161.0,5161.0,0.0,2760.0,3323.0,4764.0,5065.0,5516.0,5958.0,0.0,0.0,1.0,1.0
7842.0,7842.0,0.0,2782.0,3343.0,4767.0,5253.0,5319.0,5886.0,0.0,0.0,1.0,1.0
5179.0,5179.0,0.0,2760.0,3323.0,4765.0,5066.0,5514.0,5930.0,0.0,0.0,1.0,1.0
5169.0,5169.0,0.0,2760.0,3323.0,4764.0,5065.0,5515.0,6032.0,0.0,0.0,1.0,1.0
7845.0,7845.0,0.0,2647.0,3210.0,4765.0,5148.0,5322.0,5886.0,0.0,0.0,1.0,1.0
7862.0,7862.0,0.0,2707.0,3270.0,4767.0,5253.0,5453.0,5999.0,0.0,0.0,1.0,1.0
7847.0,7847.0,0.0,2707.0,3270.0,4767.0,5253.0,5299.0,5863.0,0.0,0.0,1.0,1.0
7841.0,7841.0,0.0,2767.0,3329.0,4767.0,5253.0,5450.0,6016.0,0.0,0.0,1.0,1.0
5175.0,5175.0,0.0,2760.0,3323.0,4764.0,5066.0,5515.0,5919.0,0.0,0.0,1.0,1.0
5176,5176,0.0,2760,3323,4764,5065,5513,5994,0,0,1.0,1.0
0.0,99999.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,1.0,1.0
